ts_event,open,high,low,close,volume,symbol
2020-01-01 23:00:00+00:00,3237,3238,3235.25,3236.25,2974,ES.v.0
2020-01-01 23:01:00+00:00,3236.25,3236.25,3234.75,3234.75,829,ES.v.0
2020-01-01 23:02:00+00:00,3234.75,3235.5,3234.25,3235.25,848,ES.v.0
2020-01-01 23:03:00+00:00,3235.5,3236.25,3235.25,3236,585,ES.v.0
2020-01-01 23:04:00+00:00,3236,3236,3235.25,3235.5,314,ES.v.0
2020-01-01 23:05:00+00:00,3235.5,3235.75,3235.25,3235.25,210,ES.v.0
2020-01-01 23:06:00+00:00,3235.25,3235.75,3235.25,3235.5,275,ES.v.0
2020-01-01 23:07:00+00:00,3235.75,3235.75,3235.25,3235.5,242,ES.v.0
2020-01-01 23:08:00+00:00,3235.75,3236.5,3235.75,3236.5,117,ES.v.0
2020-01-01 23:09:00+00:00,3236.5,3238,3236.5,3237.75,732,ES.v.0
2020-01-01 23:10:00+00:00,3237.75,3239,3237.75,3238.75,1209,ES.v.0
2020-01-01 23:11:00+00:00,3238.75,3238.75,3238,3238.5,183,ES.v.0
2020-01-01 23:12:00+00:00,3238.5,3238.75,3238.25,3238.25,220,ES.v.0
2020-01-01 23:13:00+00:00,3238.25,3239,3238.25,3239,160,ES.v.0
2020-01-01 23:14:00+00:00,3239,3239.25,3238.5,3239.25,416,ES.v.0
2020-01-01 23:15:00+00:00,3239.25,3239.75,3239,3239,341,ES.v.0
2020-01-01 23:16:00+00:00,3239.25,3239.25,3238.75,3238.75,303,ES.v.0
2020-01-01 23:17:00+00:00,3238.75,3239,3238.75,3238.75,51,ES.v.0
2020-01-01 23:18:00+00:00,3238.75,3239.75,3238.75,3239.75,311,ES.v.0
2020-01-01 23:19:00+00:00,3239.75,3239.75,3239.5,3239.75,86,ES.v.0
2020-01-01 23:20:00+00:00,3239.5,3240.5,3239.5,3240.5,466,ES.v.0
2020-01-01 23:21:00+00:00,3240.25,3240.5,3240,3240.25,520,ES.v.0
2020-01-01 23:22:00+00:00,3240.25,3240.25,3239.75,3240,183,ES.v.0
2020-01-01 23:23:00+00:00,3239.75,3240,3239.25,3239.75,178,ES.v.0
2020-01-01 23:24:00+00:00,3239.5,3239.5,3239.25,3239.5,200,ES.v.0
2020-01-01 23:25:00+00:00,3239.5,3239.5,3239,3239.25,57,ES.v.0
2020-01-01 23:26:00+00:00,3239.25,3239.75,3239.25,3239.75,117,ES.v.0
2020-01-01 23:27:00+00:00,3239.5,3240.25,3239.5,3240,259,ES.v.0
2020-01-01 23:28:00+00:00,3240,3240.5,3240,3240.5,69,ES.v.0
2020-01-01 23:29:00+00:00,3240.5,3240.75,3240.25,3240.25,144,ES.v.0
2020-01-01 23:30:00+00:00,3240.5,3240.5,3240,3240,181,ES.v.0
2020-01-01 23:31:00+00:00,3239.75,3240.5,3239.75,3240,197,ES.v.0
2020-01-01 23:32:00+00:00,3240,3240.25,3240,3240.25,55,ES.v.0
2020-01-01 23:33:00+00:00,3240,3240.25,3239.75,3239.75,42,ES.v.0
2020-01-01 23:34:00+00:00,3239.75,3239.75,3239.5,3239.5,55,ES.v.0
2020-01-01 23:35:00+00:00,3239.5,3239.75,3239.5,3239.5,128,ES.v.0
2020-01-01 23:36:00+00:00,3239.5,3239.75,3239.25,3239.25,136,ES.v.0
2020-01-01 23:37:00+00:00,3239.25,3239.5,3238.5,3239,371,ES.v.0
2020-01-01 23:38:00+00:00,3239,3239.5,3238.75,3239,204,ES.v.0
2020-01-01 23:39:00+00:00,3239,3239,3238.5,3238.75,210,ES.v.0
2020-01-01 23:40:00+00:00,3238.75,3238.75,3238.5,3238.5,144,ES.v.0
2020-01-01 23:41:00+00:00,3238.5,3238.75,3238.25,3238.75,151,ES.v.0
2020-01-01 23:42:00+00:00,3238.75,3238.75,3238.5,3238.5,44,ES.v.0
2020-01-01 23:43:00+00:00,3238.5,3238.75,3238.25,3238.75,133,ES.v.0
2020-01-01 23:44:00+00:00,3238.5,3238.5,3238.25,3238.5,76,ES.v.0
2020-01-01 23:45:00+00:00,3238.25,3238.75,3238.25,3238.75,104,ES.v.0
2020-01-01 23:46:00+00:00,3238.75,3238.75,3238.5,3238.5,117,ES.v.0
2020-01-01 23:47:00+00:00,3238.5,3239,3238.25,3239,134,ES.v.0
2020-01-01 23:48:00+00:00,3239,3239,3238.5,3238.5,40,ES.v.0
2020-01-01 23:49:00+00:00,3238.5,3239,3238.5,3238.75,62,ES.v.0
2020-01-01 23:50:00+00:00,3239,3239,3238.5,3238.5,71,ES.v.0
2020-01-01 23:51:00+00:00,3238.75,3238.75,3238.25,3238.5,97,ES.v.0
2020-01-01 23:52:00+00:00,3238.25,3238.5,3238,3238.25,158,ES.v.0
2020-01-01 23:53:00+00:00,3238.25,3238.25,3237.75,3238,173,ES.v.0
2020-01-01 23:54:00+00:00,3237.75,3238,3237.75,3238,175,ES.v.0
2020-01-01 23:55:00+00:00,3238,3238,3237.75,3237.75,37,ES.v.0
2020-01-01 23:56:00+00:00,3237.75,3238,3237.75,3238,134,ES.v.0
2020-01-01 23:57:00+00:00,3237.75,3237.75,3237.5,3237.75,88,ES.v.0
2020-01-01 23:58:00+00:00,3237.75,3237.75,3237.5,3237.5,50,ES.v.0
2020-01-01 23:59:00+00:00,3237.5,3237.75,3237.5,3237.5,60,ES.v.0
2020-01-02 00:00:00+00:00,3237.75,3238.25,3237.5,3237.5,285,ES.v.0
2020-01-02 00:01:00+00:00,3237.5,3238,3237.5,3238,97,ES.v.0
2020-01-02 00:02:00+00:00,3238,3238.25,3238,3238.25,66,ES.v.0
2020-01-02 00:03:00+00:00,3238,3238.25,3237.5,3237.75,358,ES.v.0
2020-01-02 00:04:00+00:00,3237.5,3237.75,3237.25,3237.25,199,ES.v.0
2020-01-02 00:05:00+00:00,3237.25,3237.5,3237.25,3237.5,31,ES.v.0
2020-01-02 00:06:00+00:00,3237.25,3237.5,3237.25,3237.5,219,ES.v.0
2020-01-02 00:07:00+00:00,3237.5,3237.5,3237.25,3237.5,22,ES.v.0
2020-01-02 00:08:00+00:00,3237.25,3237.5,3237,3237,74,ES.v.0
2020-01-02 00:09:00+00:00,3237,3237.5,3237,3237.5,86,ES.v.0
2020-01-02 00:10:00+00:00,3237.5,3237.5,3237.5,3237.5,104,ES.v.0
2020-01-02 00:11:00+00:00,3237.5,3237.5,3237.25,3237.25,66,ES.v.0
2020-01-02 00:12:00+00:00,3237.5,3237.75,3237.25,3237.5,60,ES.v.0
2020-01-02 00:13:00+00:00,3237.25,3237.75,3237.25,3237.75,26,ES.v.0
2020-01-02 00:14:00+00:00,3237.75,3237.75,3237.5,3237.5,40,ES.v.0
2020-01-02 00:15:00+00:00,3237.25,3237.5,3237,3237.5,169,ES.v.0
2020-01-02 00:16:00+00:00,3237.5,3237.5,3237.25,3237.5,191,ES.v.0
2020-01-02 00:17:00+00:00,3237.25,3237.5,3237.25,3237.25,109,ES.v.0
2020-01-02 00:18:00+00:00,3237.5,3237.5,3237.25,3237.5,43,ES.v.0
2020-01-02 00:19:00+00:00,3237.25,3237.75,3237.25,3237.75,76,ES.v.0
2020-01-02 00:20:00+00:00,3237.75,3237.75,3237.5,3237.5,52,ES.v.0
2020-01-02 00:21:00+00:00,3237.5,3237.75,3237.5,3237.5,192,ES.v.0
2020-01-02 00:22:00+00:00,3237.5,3237.75,3237.5,3237.5,97,ES.v.0
2020-01-02 00:23:00+00:00,3237.5,3237.75,3237.5,3237.5,27,ES.v.0
2020-01-02 00:24:00+00:00,3237.5,3237.5,3237.25,3237.25,58,ES.v.0
2020-01-02 00:25:00+00:00,3237.5,3237.75,3237.5,3237.75,95,ES.v.0
2020-01-02 00:26:00+00:00,3237.75,3237.75,3237.5,3237.5,42,ES.v.0
2020-01-02 00:27:00+00:00,3237.75,3238,3237.5,3237.75,107,ES.v.0
2020-01-02 00:28:00+00:00,3237.75,3238,3237.75,3238,86,ES.v.0
2020-01-02 00:29:00+00:00,3238,3238,3237.75,3237.75,24,ES.v.0
2020-01-02 00:30:00+00:00,3238,3238.25,3238,3238.25,105,ES.v.0
2020-01-02 00:31:00+00:00,3238.25,3238.5,3238,3238.5,116,ES.v.0
2020-01-02 00:32:00+00:00,3238.5,3238.5,3238.25,3238.5,114,ES.v.0
2020-01-02 00:33:00+00:00,3238.5,3238.5,3238.25,3238.5,132,ES.v.0
2020-01-02 00:34:00+00:00,3238.75,3238.75,3238.5,3238.5,23,ES.v.0
2020-01-02 00:35:00+00:00,3238.25,3238.75,3238.25,3238.5,86,ES.v.0
2020-01-02 00:36:00+00:00,3238.5,3238.5,3238.25,3238.5,78,ES.v.0
2020-01-02 00:37:00+00:00,3238.5,3238.5,3238.25,3238.5,32,ES.v.0
2020-01-02 00:38:00+00:00,3238.5,3238.75,3238.25,3238.25,51,ES.v.0
