DateTime,Date,Time,Hour,Minute,DayOfWeek,DayOfMonth,BarInSession,Open,High,Low,Close,Volume,BarDirection,BodySize,UpperWick,LowerWick,BarRange,VWAP,VWAP_SD1_Upper,VWAP_SD1_Lower,VWAP_SD2_Upper,VWAP_SD2_Lower,VWAP_SD3_Upper,VWAP_SD3_Lower,VWAP_ZScore,CumDelta_Close,CumDelta_High,CumDelta_Low,ATR_14,ATR_5,ADX_14,RSI_14,EMA_9,EMA_21,SMA_50,SMA_200,SessionHigh,SessionLow,SessionOpen,SessionRange,SessionPosition,DistFromHigh,DistFromLow,ConsecUpBars,ConsecDownBars,IsNewSession,AsiaHigh,AsiaLow,AsiaRange,AsiaClose,LondonHigh,LondonLow,LondonRange,LondonClose,OR_High,OR_Low,OR_Complete,OR_Direction,PrevDayHigh,PrevDayLow,PrevDayClose,PrevDayRange,GapFromPrevClose,Close_5m,Close_15m,Close_60m,Close_Daily,High_5m,IsEndOfMonth,IsQuarterEnd,DailyVolume,DistSwingHigh,DistSwingLow,Cam_CP,Cam_R3,Cam_R4,Cam_S3,Cam_S4,Dist_R3_Ticks,Dist_R4_Ticks,Dist_S3_Ticks,Dist_S4_Ticks,Dist_CP_Ticks
2020-01-01 20:21:00,2020-01-01,20:21,20,21,3,1,1,11588.75,11589.00,11588.50,11588.75,33,0,0.00,0.25,0.25,0.50,11588.75,11588.75,11588.75,11588.75,11588.75,11588.75,11588.75,0.0000,0,0,0,1.13,1.01,25.24,49.33,11589.45,11589.18,11587.02,11585.41,11589.00,11588.50,11588.75,0.50,0.5000,0.25,0.25,0,0,0,11589.00,11588.50,0.50,11588.75,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11588.75,11590.25,11587.75,0.00,11591.50,0,0,33,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:22:00,2020-01-01,20:22,20,22,3,1,2,11588.75,11590.00,11588.75,11590.00,31,1,1.25,0.00,0.00,1.25,11589.15,11589.57,11588.74,11589.99,11588.32,11590.40,11587.90,2.0322,0,0,0,1.13,1.06,24.97,56.46,11589.56,11589.25,11587.15,11585.48,11590.00,11588.50,11588.75,1.50,1.0000,0.00,1.50,1,0,0,11590.00,11588.50,1.50,11590.00,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11588.75,11590.25,11587.75,0.00,11591.50,0,0,64,1.50,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:23:00,2020-01-01,20:23,20,23,3,1,3,11590.25,11590.25,11589.50,11589.50,28,-1,0.75,0.00,0.00,0.75,11589.34,11589.78,11588.89,11590.22,11588.45,11590.66,11588.01,0.3724,0,0,0,1.11,1.00,24.92,53.23,11589.55,11589.27,11587.26,11585.54,11590.25,11588.50,11588.75,1.75,0.5714,0.75,1.00,0,1,0,11590.25,11588.50,1.75,11589.50,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11588.75,11590.25,11587.75,0.00,11591.50,0,0,92,2.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:24:00,2020-01-01,20:24,20,24,3,1,4,11590.00,11590.00,11588.75,11590.00,32,0,0.00,0.00,1.25,1.25,11589.40,11589.80,11589.00,11590.19,11588.61,11590.59,11588.21,1.5154,0,0,0,1.12,1.05,23.95,55.94,11589.64,11589.34,11587.41,11585.60,11590.25,11588.50,11588.75,1.75,0.8571,0.25,1.50,0,1,0,11590.25,11588.50,1.75,11590.00,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11588.75,11590.25,11587.75,0.00,11591.50,0,0,124,1.50,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:25:00,2020-01-01,20:25,20,25,3,1,5,11589.75,11590.25,11589.75,11590.25,22,1,0.50,0.00,0.00,0.50,11589.50,11589.94,11589.06,11590.38,11588.62,11590.82,11588.18,1.7003,0,0,0,1.07,0.94,23.28,57.28,11589.76,11589.42,11587.57,11585.66,11590.25,11588.50,11588.75,1.75,1.0000,0.00,1.75,1,0,0,11590.25,11588.50,1.75,11590.25,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.25,11590.25,11587.75,0.00,11590.25,0,0,146,1.25,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:26:00,2020-01-01,20:26,20,26,3,1,6,11590.25,11590.25,11589.75,11589.75,27,-1,0.50,0.00,0.00,0.50,11589.57,11590.00,11589.14,11590.43,11588.70,11590.86,11588.27,0.4246,0,0,0,1.03,0.85,22.65,53.77,11589.76,11589.45,11587.68,11585.73,11590.25,11588.50,11588.75,1.75,0.7143,0.50,1.25,0,1,0,11590.25,11588.50,1.75,11589.75,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.25,11590.25,11587.75,0.00,11590.25,0,0,173,1.75,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:27:00,2020-01-01,20:27,20,27,3,1,7,11590.00,11590.50,11589.75,11590.50,36,1,0.50,0.00,0.25,0.75,11589.68,11590.15,11589.22,11590.62,11588.75,11591.09,11588.28,1.7371,0,0,0,1.01,0.83,22.32,57.93,11589.91,11589.55,11587.78,11585.79,11590.50,11588.50,11588.75,2.00,1.0000,0.00,2.00,1,0,0,11590.50,11588.50,2.00,11590.50,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.25,11590.25,11587.75,0.00,11590.25,0,0,209,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:28:00,2020-01-01,20:28,20,28,3,1,8,11590.50,11591.00,11589.75,11590.75,46,1,0.25,0.25,0.75,1.25,11589.83,11590.36,11589.30,11590.89,11588.78,11591.42,11588.25,1.7389,0,0,0,1.03,0.91,22.47,59.25,11590.08,11589.66,11587.88,11585.86,11591.00,11588.50,11588.75,2.50,0.9000,0.25,2.25,2,0,0,11591.00,11588.50,2.50,11590.75,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.25,11590.25,11587.75,0.00,11590.25,0,0,255,0.75,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:29:00,2020-01-01,20:29,20,29,3,1,9,11590.75,11590.75,11590.75,11590.75,16,0,0.00,0.00,0.00,0.00,11589.89,11590.44,11589.33,11591.00,11588.77,11591.55,11588.22,1.5538,0,0,0,0.96,0.73,22.62,59.25,11590.21,11589.76,11588.02,11585.92,11591.00,11588.50,11588.75,2.50,0.9000,0.25,2.25,2,0,0,11591.00,11588.50,2.50,11590.75,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.25,11590.25,11587.75,0.00,11590.25,0,0,271,0.75,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:30:00,2020-01-01,20:30,20,30,3,1,10,11591.00,11591.00,11590.25,11590.50,27,-1,0.50,0.00,0.25,0.75,11589.95,11590.52,11589.38,11591.08,11588.82,11591.65,11588.25,0.9718,0,0,0,0.94,0.74,22.00,57.17,11590.27,11589.82,11588.12,11585.95,11591.00,11588.50,11588.75,2.50,0.8000,0.50,2.00,0,1,0,11591.00,11588.50,2.50,11590.50,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.50,11590.50,11587.75,0.00,11591.00,0,0,298,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:31:00,2020-01-01,20:31,20,31,3,1,11,11590.75,11591.50,11590.25,11590.50,68,-1,0.25,0.75,0.25,1.25,11590.10,11590.70,11589.50,11591.30,11588.90,11591.89,11588.30,0.6714,0,0,0,0.96,0.84,21.94,57.17,11590.31,11589.89,11588.22,11585.97,11591.50,11588.50,11588.75,3.00,0.6667,1.00,2.00,0,2,0,11591.50,11588.50,3.00,11590.50,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.50,11590.50,11587.75,0.00,11591.00,0,0,366,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:32:00,2020-01-01,20:32,20,32,3,1,12,11590.50,11591.75,11590.50,11591.75,41,1,1.25,0.00,0.00,1.25,11590.22,11590.90,11589.54,11591.58,11588.86,11592.26,11588.19,2.2504,0,0,0,0.98,0.92,22.13,64.40,11590.60,11590.05,11588.36,11586.00,11591.75,11588.50,11588.75,3.25,1.0000,0.00,3.25,1,0,0,11591.75,11588.50,3.25,11591.75,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.50,11590.50,11587.75,0.00,11591.00,0,0,407,-0.25,3.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:33:00,2020-01-01,20:33,20,33,3,1,13,11591.50,11592.25,11591.50,11591.50,88,0,0.00,0.75,0.00,0.75,11590.49,11591.34,11589.65,11592.19,11588.80,11593.04,11587.95,1.1857,0,0,0,0.97,0.89,22.76,62.14,11590.78,11590.19,11588.47,11586.02,11592.25,11588.50,11588.75,3.75,0.8000,0.75,3.00,1,0,0,11592.25,11588.50,3.75,11591.50,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.50,11590.50,11587.75,0.00,11591.00,0,0,495,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:34:00,2020-01-01,20:34,20,34,3,1,14,11591.75,11592.00,11591.50,11591.75,22,0,0.00,0.25,0.25,0.50,11590.55,11591.42,11589.68,11592.28,11588.81,11593.15,11587.94,1.3853,0,0,0,0.93,0.81,23.34,63.52,11590.98,11590.33,11588.62,11586.05,11592.25,11588.50,11588.75,3.75,0.8667,0.50,3.25,1,0,0,11592.25,11588.50,3.75,11591.75,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.50,11590.50,11587.75,0.00,11591.00,0,0,517,-0.25,3.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:35:00,2020-01-01,20:35,20,35,3,1,15,11591.75,11592.25,11591.50,11592.25,34,1,0.50,0.00,0.25,0.75,11590.64,11591.55,11589.73,11592.46,11588.82,11593.37,11587.91,1.7712,0,0,0,0.92,0.80,24.12,66.17,11591.23,11590.50,11588.78,11586.08,11592.25,11588.50,11588.75,3.75,1.0000,0.00,3.75,2,0,0,11592.25,11588.50,3.75,11592.25,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11592.25,11590.50,11587.75,0.00,11592.25,0,0,551,-0.75,3.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:36:00,2020-01-01,20:36,20,36,3,1,16,11592.00,11592.75,11591.75,11592.00,79,0,0.00,0.75,0.25,1.00,11590.83,11591.82,11589.84,11592.81,11588.85,11593.80,11587.86,1.1819,0,0,0,0.93,0.84,25.27,63.68,11591.38,11590.64,11588.92,11586.10,11592.75,11588.50,11588.75,4.25,0.8235,0.75,3.50,2,0,0,11592.75,11588.50,4.25,11592.00,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11592.25,11590.50,11587.75,0.00,11592.25,0,0,630,-0.50,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:37:00,2020-01-01,20:37,20,37,3,1,17,11592.25,11592.50,11592.00,11592.25,17,0,0.00,0.25,0.25,0.50,11590.87,11591.87,11589.86,11592.87,11588.86,11593.88,11587.85,1.3785,0,0,0,0.90,0.77,26.34,65.09,11591.56,11590.79,11589.07,11586.14,11592.75,11588.50,11588.75,4.25,0.8824,0.50,3.75,2,0,0,11592.75,11588.50,4.25,11592.25,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11592.25,11590.50,11587.75,0.00,11592.25,0,0,647,-0.75,3.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:38:00,2020-01-01,20:38,20,38,3,1,18,11592.25,11592.50,11592.00,11592.50,21,1,0.25,0.00,0.25,0.50,11590.91,11591.93,11589.89,11592.95,11588.87,11593.97,11587.85,1.5556,0,0,0,0.87,0.72,27.33,66.50,11591.75,11590.94,11589.21,11586.18,11592.75,11588.50,11588.75,4.25,0.9412,0.25,4.00,3,0,0,11592.75,11588.50,4.25,11592.50,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11592.25,11590.50,11587.75,0.00,11592.25,0,0,668,-1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:39:00,2020-01-01,20:39,20,39,3,1,19,11592.25,11592.25,11592.00,11592.25,26,0,0.00,0.00,0.25,0.25,11590.96,11591.99,11589.93,11593.02,11588.90,11594.05,11587.87,1.2540,0,0,0,0.84,0.67,28.25,63.74,11591.85,11591.06,11589.35,11586.20,11592.75,11588.50,11588.75,4.25,0.8824,0.50,3.75,3,0,0,11592.75,11588.50,4.25,11592.25,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11592.25,11590.50,11587.75,0.00,11592.25,0,0,694,-0.75,3.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:40:00,2020-01-01,20:40,20,40,3,1,20,11592.50,11593.00,11592.50,11592.50,60,0,0.00,0.50,0.00,0.50,11591.10,11592.19,11590.00,11593.28,11588.91,11594.37,11587.82,1.2886,0,0,0,0.83,0.69,29.78,65.29,11591.98,11591.19,11589.48,11586.23,11593.00,11588.50,11588.75,4.50,0.8889,0.50,4.00,3,0,0,11593.00,11588.50,4.50,11592.50,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11592.50,11590.50,11587.75,0.00,11593.00,0,0,754,-1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:41:00,2020-01-01,20:41,20,41,3,1,21,11592.50,11592.75,11592.00,11592.25,40,-1,0.25,0.25,0.25,0.75,11591.16,11592.25,11590.06,11593.35,11588.96,11594.45,11587.87,0.9964,0,0,0,0.83,0.70,30.11,62.41,11592.03,11591.29,11589.63,11586.24,11593.00,11588.50,11588.75,4.50,0.8333,0.75,3.75,0,1,0,11593.00,11588.50,4.50,11592.25,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11592.50,11590.50,11587.75,0.00,11593.00,0,0,794,-0.75,3.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:42:00,2020-01-01,20:42,20,42,3,1,22,11592.50,11592.50,11591.50,11591.50,33,-1,1.00,0.00,0.00,1.00,11591.18,11592.27,11590.10,11593.35,11589.02,11594.43,11587.94,0.2915,0,0,0,0.84,0.76,29.49,54.62,11591.93,11591.31,11589.76,11586.25,11593.00,11588.50,11588.75,4.50,0.6667,1.50,3.00,0,2,0,11593.00,11588.50,4.50,11591.50,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11592.50,11590.50,11587.75,0.00,11593.00,0,0,827,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:43:00,2020-01-01,20:43,20,43,3,1,23,11591.50,11592.00,11590.50,11590.50,57,-1,1.00,0.50,0.00,1.50,11591.17,11592.22,11590.12,11593.27,11589.08,11594.32,11588.03,-0.6419,0,0,0,0.89,0.91,27.39,46.32,11591.64,11591.23,11589.89,11586.27,11593.00,11588.50,11588.75,4.50,0.4444,2.50,2.00,0,3,0,11593.00,11588.50,4.50,11590.50,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11592.50,11590.50,11587.75,0.00,11593.00,0,0,884,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:44:00,2020-01-01,20:44,20,44,3,1,24,11591.00,11591.75,11591.00,11591.50,21,1,0.50,0.25,0.00,0.75,11591.18,11592.21,11590.14,11593.25,11589.11,11594.29,11588.07,0.3105,0,0,0,0.91,0.98,25.45,53.87,11591.61,11591.26,11590.02,11586.29,11593.00,11588.50,11588.75,4.50,0.6667,1.50,3.00,1,0,0,11593.00,11588.50,4.50,11591.50,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11592.50,11590.50,11587.75,0.00,11593.00,0,0,905,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:45:00,2020-01-01,20:45,20,45,3,1,25,11591.25,11591.25,11590.75,11590.75,20,-1,0.50,0.00,0.00,0.50,11591.17,11592.20,11590.15,11593.22,11589.12,11594.25,11588.10,-0.4120,0,0,0,0.90,0.93,23.96,48.38,11591.44,11591.21,11590.12,11586.32,11593.00,11588.50,11588.75,4.50,0.5000,2.25,2.25,0,1,0,11593.00,11588.50,4.50,11590.75,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.75,11590.75,11587.75,0.00,11592.75,0,0,925,2.25,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:46:00,2020-01-01,20:46,20,46,3,1,26,11591.25,11592.25,11591.25,11591.75,15,1,0.50,0.50,0.00,1.00,11591.18,11592.20,11590.16,11593.22,11589.14,11594.24,11588.12,0.5570,0,0,0,0.94,1.05,23.20,54.97,11591.50,11591.26,11590.25,11586.35,11593.00,11588.50,11588.75,4.50,0.7222,1.25,3.25,1,0,0,11593.00,11588.50,4.50,11591.75,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.75,11590.75,11587.75,0.00,11592.75,0,0,940,1.25,3.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:47:00,2020-01-01,20:47,20,47,3,1,27,11591.50,11591.50,11590.25,11590.50,31,-1,1.00,0.00,0.25,1.25,11591.17,11592.17,11590.16,11593.18,11589.15,11594.19,11588.15,-0.6637,0,0,0,0.98,1.14,21.86,46.90,11591.30,11591.19,11590.36,11586.36,11593.00,11588.50,11588.75,4.50,0.4444,2.50,2.00,0,1,0,11593.00,11588.50,4.50,11590.50,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.75,11590.75,11587.75,0.00,11592.75,0,0,971,2.50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:48:00,2020-01-01,20:48,20,48,3,1,28,11590.25,11590.50,11590.25,11590.25,22,0,0.00,0.25,0.00,0.25,11591.15,11592.15,11590.15,11593.16,11589.14,11594.16,11588.14,-0.8969,0,0,0,0.93,0.96,20.61,45.47,11591.09,11591.11,11590.45,11586.37,11593.00,11588.50,11588.75,4.50,0.3889,2.75,1.75,0,1,0,11593.00,11588.50,4.50,11590.25,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.75,11590.75,11587.75,0.00,11592.75,0,0,993,2.75,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:49:00,2020-01-01,20:49,20,49,3,1,29,11590.25,11590.75,11590.25,11590.75,11,1,0.50,0.00,0.00,0.50,11591.14,11592.14,11590.14,11593.14,11589.15,11594.14,11588.15,-0.3937,0,0,0,0.90,0.87,19.15,48.84,11591.02,11591.07,11590.54,11586.38,11593.00,11588.50,11588.75,4.50,0.5000,2.25,2.25,1,0,0,11593.00,11588.50,4.50,11590.75,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11590.75,11590.75,11587.75,0.00,11592.75,0,0,1004,2.25,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:50:00,2020-01-01,20:50,20,50,3,1,30,11590.50,11591.00,11590.50,11591.00,6,1,0.50,0.00,0.00,0.50,11591.14,11592.14,11590.15,11593.13,11589.15,11594.13,11588.15,-0.1420,0,0,0,0.87,0.79,18.11,50.49,11591.02,11591.07,11590.60,11586.39,11593.00,11588.50,11588.75,4.50,0.5556,2.00,2.50,2,0,0,11593.00,11588.50,4.50,11591.00,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11591.00,11590.75,11587.75,0.00,11592.25,0,0,1010,2.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-01 20:51:00,2020-01-01,20:51,20,51,3,1,31,11591.00,11591.50,11591.00,11591.25,17,1,0.25,0.25,0.00,0.50,11591.14,11592.13,11590.16,11593.12,11589.17,11594.11,11588.18,0.1080,0,0,0,0.85,0.73,17.74,52.16,11591.06,11591.08,11590.69,11586.41,11593.00,11588.50,11588.75,4.50,0.6111,1.75,2.75,3,0,0,11593.00,11588.50,4.50,11591.25,,,0.00,0.00,,,0,0,0.00,0.00,0.00,0.00,0.00,11591.00,11590.75,11587.75,0.00,11592.25,0,0,1027,1.75,2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
